timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 00:00:00+00,BTCUSD,4367.10,4386.20,4365.00,4382.60,4380.11,463.71827054
2017-10-01 00:15:00+00,BTCUSD,4382.30,4387.50,4376.80,4386.30,4381.96,291.80348816
2017-10-01 00:30:00+00,BTCUSD,4386.60,4394.00,4375.60,4381.30,4387.38,479.64241900
2017-10-01 00:45:00+00,BTCUSD,4381.20,4384.30,4367.00,4367.40,4374.31,225.96704885
2017-10-01 01:00:00+00,BTCUSD,4370.70,4371.70,4330.10,4341.10,4346.47,1286.99479972
2017-10-01 01:15:00+00,BTCUSD,4341.40,4353.70,4331.10,4347.30,4341.43,411.81520878
2017-10-01 01:30:00+00,BTCUSD,4347.50,4360.00,4347.40,4355.20,4352.57,191.03067584
2017-10-01 01:45:00+00,BTCUSD,4356.20,4360.00,4355.00,4359.80,4357.89,68.32888989
2017-10-01 02:00:00+00,BTCUSD,4356.60,4358.20,4338.40,4339.00,4346.05,149.03293381
2017-10-01 02:15:00+00,BTCUSD,4339.70,4339.70,4323.00,4326.30,4328.50,273.57897298
2017-10-01 02:30:00+00,BTCUSD,4326.60,4336.30,4323.00,4325.10,4326.27,376.10361861
2017-10-01 02:45:00+00,BTCUSD,4325.10,4329.00,4275.00,4290.00,4299.78,1829.51957584
2017-10-01 03:00:00+00,BTCUSD,4290.00,4318.80,4289.80,4315.10,4304.42,463.33758641
2017-10-01 03:15:00+00,BTCUSD,4315.40,4320.00,4286.80,4287.00,4306.01,219.17827430
2017-10-01 03:30:00+00,BTCUSD,4287.00,4310.00,4284.20,4301.00,4298.67,168.06174154
2017-10-01 03:45:00+00,BTCUSD,4301.80,4320.00,4301.80,4316.00,4314.19,85.46549990
2017-10-01 04:00:00+00,BTCUSD,4316.10,4330.00,4316.00,4320.30,4323.25,185.26892471
2017-10-01 04:15:00+00,BTCUSD,4320.30,4322.20,4301.50,4301.90,4310.53,123.50443844
2017-10-01 04:30:00+00,BTCUSD,4301.90,4319.00,4300.00,4316.20,4312.23,77.82122360
2017-10-01 04:45:00+00,BTCUSD,4315.40,4316.20,4300.00,4304.60,4306.56,103.99676304
2017-10-01 05:00:00+00,BTCUSD,4304.60,4305.00,4289.00,4301.00,4297.04,232.97456573
2017-10-01 05:15:00+00,BTCUSD,4301.20,4315.00,4296.00,4315.00,4304.27,131.70143859
2017-10-01 05:30:00+00,BTCUSD,4315.00,4325.00,4299.90,4307.20,4310.47,444.78746372
2017-10-01 05:45:00+00,BTCUSD,4306.80,4319.80,4299.30,4317.90,4310.22,178.72413391
2017-10-01 06:00:00+00,BTCUSD,4316.20,4340.00,4315.70,4330.90,4327.90,326.65191992
2017-10-01 06:15:00+00,BTCUSD,4330.10,4337.60,4319.40,4334.90,4328.44,124.60414093
2017-10-01 06:30:00+00,BTCUSD,4335.20,4339.70,4323.36,4328.90,4332.30,117.38774608
2017-10-01 06:45:00+00,BTCUSD,4329.00,4329.90,4320.90,4324.50,4325.08,126.25737925
2017-10-01 07:00:00+00,BTCUSD,4324.50,4330.00,4322.30,4325.00,4326.26,53.66796599
2017-10-01 07:15:00+00,BTCUSD,4325.00,4334.20,4325.00,4333.10,4328.06,114.06276103
2017-10-01 07:30:00+00,BTCUSD,4333.10,4342.50,4331.50,4339.40,4337.86,132.17008735
2017-10-01 07:45:00+00,BTCUSD,4340.50,4342.80,4325.00,4337.50,4332.24,160.27888753
2017-10-01 08:00:00+00,BTCUSD,4337.50,4337.90,4294.80,4324.60,4314.82,343.25173077
2017-10-01 08:15:00+00,BTCUSD,4324.00,4324.00,4300.00,4321.70,4312.00,316.76446166
2017-10-01 08:30:00+00,BTCUSD,4321.60,4321.70,4305.00,4305.00,4314.38,203.15991718
2017-10-01 08:45:00+00,BTCUSD,4305.40,4316.70,4305.00,4316.70,4309.08,95.72716144
2017-10-01 09:00:00+00,BTCUSD,4316.30,4324.20,4310.00,4313.00,4316.37,233.49091524
2017-10-01 09:15:00+00,BTCUSD,4312.90,4322.40,4312.90,4320.40,4318.66,112.89652790
2017-10-01 09:30:00+00,BTCUSD,4320.80,4322.80,4315.00,4319.60,4318.56,179.67255496
2017-10-01 09:45:00+00,BTCUSD,4319.60,4320.20,4315.00,4316.80,4317.13,62.86249144
2017-10-01 10:00:00+00,BTCUSD,4316.80,4324.50,4315.00,4318.30,4319.07,95.60662097
2017-10-01 10:15:00+00,BTCUSD,4317.70,4334.00,4316.20,4333.00,4327.98,150.66171500
2017-10-01 10:30:00+00,BTCUSD,4332.90,4335.00,4324.00,4325.90,4328.51,115.94089807
2017-10-01 10:45:00+00,BTCUSD,4325.80,4326.00,4324.20,4326.00,4325.04,37.56716398
2017-10-01 11:00:00+00,BTCUSD,4325.90,4329.70,4324.70,4327.70,4327.05,51.03104547
2017-10-01 11:15:00+00,BTCUSD,4328.80,4330.00,4324.00,4326.80,4327.10,88.77003692
2017-10-01 11:30:00+00,BTCUSD,4326.60,4329.30,4319.40,4319.90,4324.62,180.28758523
2017-10-01 11:45:00+00,BTCUSD,4319.50,4324.90,4311.10,4312.10,4319.64,305.28841511
2017-10-01 12:00:00+00,BTCUSD,4312.10,4312.10,4287.40,4293.80,4297.69,629.00122303
2017-10-01 12:15:00+00,BTCUSD,4294.60,4295.30,4277.10,4288.30,4286.31,459.27550359
2017-10-01 12:30:00+00,BTCUSD,4288.40,4290.00,4269.60,4282.20,4277.75,508.49054265
2017-10-01 12:45:00+00,BTCUSD,4282.20,4295.00,4282.20,4285.00,4287.27,563.24550534
2017-10-01 13:00:00+00,BTCUSD,4285.10,4290.90,4248.60,4256.90,4264.82,834.07054727
2017-10-01 13:15:00+00,BTCUSD,4257.30,4282.00,4257.00,4259.90,4272.84,292.17025119
2017-10-01 13:30:00+00,BTCUSD,4260.70,4280.00,4260.70,4275.40,4271.53,162.77033874
2017-10-01 13:45:00+00,BTCUSD,4275.60,4288.40,4274.50,4284.70,4282.39,213.60440759
2017-10-01 14:00:00+00,BTCUSD,4283.00,4295.00,4275.00,4289.00,4286.47,265.26201233
2017-10-01 14:15:00+00,BTCUSD,4288.90,4295.00,4286.00,4292.40,4291.36,210.58788404
2017-10-01 14:30:00+00,BTCUSD,4292.60,4293.10,4286.00,4289.60,4289.45,185.74818338
2017-10-01 14:45:00+00,BTCUSD,4289.60,4294.90,4288.50,4290.20,4291.11,133.91299037
2017-10-01 15:00:00+00,BTCUSD,4290.90,4292.70,4276.90,4291.70,4286.93,183.43654356
2017-10-01 15:15:00+00,BTCUSD,4292.10,4295.60,4290.30,4291.10,4293.31,149.52595104
2017-10-01 15:30:00+00,BTCUSD,4291.40,4294.40,4288.90,4291.00,4290.95,71.09330150
2017-10-01 15:45:00+00,BTCUSD,4291.00,4322.40,4291.00,4315.60,4307.19,515.74026967
2017-10-01 16:00:00+00,BTCUSD,4315.80,4319.00,4310.50,4318.70,4315.62,214.76533449
2017-10-01 16:15:00+00,BTCUSD,4318.70,4325.00,4315.20,4317.00,4319.96,111.27056147
2017-10-01 16:30:00+00,BTCUSD,4317.00,4325.00,4316.10,4322.20,4321.39,192.65197385
2017-10-01 16:45:00+00,BTCUSD,4322.20,4322.20,4308.90,4309.00,4315.85,95.83087764
2017-10-01 17:00:00+00,BTCUSD,4308.90,4315.00,4305.00,4311.00,4308.85,145.93960210
2017-10-01 17:15:00+00,BTCUSD,4311.50,4313.10,4304.10,4304.60,4308.03,46.80710296
2017-10-01 17:30:00+00,BTCUSD,4304.60,4310.00,4289.50,4289.80,4299.26,318.60757339
2017-10-01 17:45:00+00,BTCUSD,4289.70,4312.80,4289.60,4305.20,4296.37,215.31084877
2017-10-01 18:00:00+00,BTCUSD,4305.20,4315.00,4301.20,4303.80,4308.00,86.15281034
2017-10-01 18:15:00+00,BTCUSD,4303.40,4304.00,4297.60,4300.90,4301.15,64.69835343
2017-10-01 18:30:00+00,BTCUSD,4300.90,4321.50,4300.10,4321.30,4309.90,111.41238262
2017-10-01 18:45:00+00,BTCUSD,4321.60,4324.70,4309.30,4323.90,4318.19,177.67346351
2017-10-01 19:00:00+00,BTCUSD,4323.80,4330.00,4320.10,4328.90,4326.62,169.81811326
2017-10-01 19:15:00+00,BTCUSD,4328.60,4332.40,4316.30,4317.90,4327.04,48.15126717
2017-10-01 19:30:00+00,BTCUSD,4318.60,4328.10,4318.50,4323.90,4324.92,32.44298211
2017-10-01 19:45:00+00,BTCUSD,4324.00,4330.90,4312.80,4315.80,4319.93,204.16898827
2017-10-01 20:00:00+00,BTCUSD,4315.80,4320.00,4311.00,4313.20,4315.66,123.62432440
2017-10-01 20:15:00+00,BTCUSD,4314.80,4335.00,4314.80,4330.40,4327.28,95.14585487
2017-10-01 20:30:00+00,BTCUSD,4333.00,4340.00,4331.80,4336.10,4336.60,112.64847810
2017-10-01 20:45:00+00,BTCUSD,4336.10,4377.90,4335.00,4355.90,4356.80,816.90630351
2017-10-01 21:00:00+00,BTCUSD,4355.70,4379.00,4353.00,4377.00,4368.81,498.68833093
2017-10-01 21:15:00+00,BTCUSD,4377.00,4380.70,4355.10,4365.40,4370.98,997.45759880
2017-10-01 21:30:00+00,BTCUSD,4365.90,4370.00,4361.00,4362.60,4365.49,455.92728166
2017-10-01 21:45:00+00,BTCUSD,4362.70,4369.90,4361.10,4365.30,4364.33,107.23211779
2017-10-01 22:00:00+00,BTCUSD,4365.40,4382.00,4365.30,4379.40,4374.87,451.79916014
2017-10-01 22:15:00+00,BTCUSD,4379.80,4393.00,4376.00,4390.00,4386.43,585.14502937
2017-10-01 22:30:00+00,BTCUSD,4388.10,4419.00,4388.00,4412.50,4404.97,1311.01667688
2017-10-01 22:45:00+00,BTCUSD,4413.90,4424.00,4383.70,4407.00,4406.61,1381.69270671
2017-10-01 23:00:00+00,BTCUSD,4407.00,4407.00,4385.00,4401.40,4396.90,1600.94744834
2017-10-01 23:15:00+00,BTCUSD,4401.40,4408.80,4401.00,4406.00,4405.03,203.21070004
2017-10-01 23:30:00+00,BTCUSD,4405.90,4407.60,4395.00,4400.40,4399.22,295.11599420
2017-10-01 23:45:00+00,BTCUSD,4400.30,4405.00,4398.00,4404.10,4400.57,388.94585787
2017-10-02 00:00:00+00,BTCUSD,4404.30,4418.80,4398.70,4408.00,4409.49,471.28374451
2017-10-02 00:15:00+00,BTCUSD,4408.00,4408.10,4389.80,4390.00,4396.83,285.80842570
2017-10-02 00:30:00+00,BTCUSD,4389.90,4425.00,4389.90,4425.00,4414.09,869.06463672
2017-10-02 00:45:00+00,BTCUSD,4425.10,4433.30,4419.00,4433.30,4428.74,603.80296517
2017-10-02 01:00:00+00,BTCUSD,4433.40,4438.00,4420.00,4437.00,4430.52,445.73787898
2017-10-02 01:15:00+00,BTCUSD,4436.90,4437.00,4412.40,4417.90,4422.10,296.79517021
2017-10-02 01:30:00+00,BTCUSD,4416.50,4418.00,4407.10,4417.90,4414.30,503.54290027
2017-10-02 01:45:00+00,BTCUSD,4417.80,4418.00,4405.10,4418.00,4412.87,242.65385868
2017-10-02 02:00:00+00,BTCUSD,4418.00,4423.00,4417.70,4420.00,4420.20,155.94589562
2017-10-02 02:15:00+00,BTCUSD,4420.00,4429.90,4418.90,4429.20,4422.88,227.39249711
