timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 00:00:00+00,ETHUSD,303.44,304.00,303.17,303.45,303.61,1667.69655473
2017-10-01 00:15:00+00,ETHUSD,303.27,304.18,303.23,304.00,303.77,2274.08516455
2017-10-01 00:30:00+00,ETHUSD,304.00,304.70,303.35,303.65,304.13,1074.36876980
2017-10-01 00:45:00+00,ETHUSD,303.64,303.89,303.01,303.49,303.43,779.58035381
2017-10-01 01:00:00+00,ETHUSD,303.06,303.09,301.28,301.80,302.11,2978.53965656
2017-10-01 01:15:00+00,ETHUSD,301.80,302.17,301.08,301.76,301.58,632.96898867
2017-10-01 01:30:00+00,ETHUSD,301.82,302.60,301.73,302.44,302.10,1169.71619577
2017-10-01 01:45:00+00,ETHUSD,302.44,302.80,301.90,301.90,302.25,619.94312987
2017-10-01 02:00:00+00,ETHUSD,301.88,302.04,301.00,301.08,301.25,1312.03526196
2017-10-01 02:15:00+00,ETHUSD,301.08,301.11,300.17,300.18,300.83,2592.71559845
2017-10-01 02:30:00+00,ETHUSD,300.19,300.95,300.18,300.62,300.55,1131.89674091
2017-10-01 02:45:00+00,ETHUSD,300.65,300.83,300.20,300.20,300.34,3825.09296718
2017-10-01 03:00:00+00,ETHUSD,300.20,301.56,300.00,301.21,300.21,3364.31224451
2017-10-01 03:15:00+00,ETHUSD,301.20,301.69,298.75,298.94,300.06,3301.46031277
2017-10-01 03:30:00+00,ETHUSD,298.72,300.10,298.33,299.30,299.12,1451.35974771
2017-10-01 03:45:00+00,ETHUSD,299.31,300.57,299.30,299.95,300.14,1481.09673121
2017-10-01 04:00:00+00,ETHUSD,299.95,300.78,299.95,300.55,300.38,417.37640286
2017-10-01 04:15:00+00,ETHUSD,300.54,300.57,299.56,299.56,299.93,922.94990388
2017-10-01 04:30:00+00,ETHUSD,299.57,300.31,299.50,300.00,299.99,554.13828528
2017-10-01 04:45:00+00,ETHUSD,300.01,300.69,299.42,300.16,300.01,1029.22285257
2017-10-01 05:00:00+00,ETHUSD,299.99,300.01,299.00,299.32,299.48,279.35891520
2017-10-01 05:15:00+00,ETHUSD,299.13,299.28,299.00,299.25,299.21,511.21447476
2017-10-01 05:30:00+00,ETHUSD,299.25,299.89,299.00,299.06,299.58,659.72030057
2017-10-01 05:45:00+00,ETHUSD,299.28,299.53,299.00,299.42,299.19,427.70600944
2017-10-01 06:00:00+00,ETHUSD,299.46,301.04,299.29,300.21,300.32,771.68456382
2017-10-01 06:15:00+00,ETHUSD,300.33,300.80,300.20,300.37,300.29,687.19864626
2017-10-01 06:30:00+00,ETHUSD,300.36,301.06,300.25,300.53,300.51,844.08010808
2017-10-01 06:45:00+00,ETHUSD,300.62,301.23,300.11,300.72,300.52,1501.42700036
2017-10-01 07:00:00+00,ETHUSD,300.45,300.76,300.20,300.56,300.39,535.04390059
2017-10-01 07:15:00+00,ETHUSD,300.60,300.89,300.31,300.37,300.56,508.05937487
2017-10-01 07:30:00+00,ETHUSD,300.48,301.43,300.30,300.84,300.73,797.72874942
2017-10-01 07:45:00+00,ETHUSD,300.84,301.05,300.40,300.65,300.64,435.93769655
2017-10-01 08:00:00+00,ETHUSD,300.65,301.33,300.40,300.95,300.89,1085.27030309
2017-10-01 08:15:00+00,ETHUSD,300.95,300.95,299.79,300.47,300.19,1028.36359486
2017-10-01 08:30:00+00,ETHUSD,300.39,300.52,299.67,299.72,300.00,606.69555192
2017-10-01 08:45:00+00,ETHUSD,299.71,300.36,299.52,300.11,299.87,930.51589202
2017-10-01 09:00:00+00,ETHUSD,300.11,300.48,299.72,300.07,300.10,547.53512549
2017-10-01 09:15:00+00,ETHUSD,300.24,300.50,299.94,300.17,300.21,225.41316895
2017-10-01 09:30:00+00,ETHUSD,300.17,300.67,299.54,299.92,299.92,1283.46752488
2017-10-01 09:45:00+00,ETHUSD,299.99,300.17,299.63,300.17,300.01,476.81156484
2017-10-01 10:00:00+00,ETHUSD,300.17,300.26,299.61,299.66,299.92,944.93918528
2017-10-01 10:15:00+00,ETHUSD,299.65,300.34,299.61,300.14,299.91,531.33617291
2017-10-01 10:30:00+00,ETHUSD,300.19,300.38,299.72,300.01,300.10,401.68362605
2017-10-01 10:45:00+00,ETHUSD,300.02,300.37,299.61,300.21,300.02,367.59944119
2017-10-01 11:00:00+00,ETHUSD,300.21,300.26,299.66,300.02,300.13,426.66897529
2017-10-01 11:15:00+00,ETHUSD,300.03,300.60,299.64,300.09,300.06,239.42335737
2017-10-01 11:30:00+00,ETHUSD,299.95,300.25,299.52,299.52,299.93,1257.79408907
2017-10-01 11:45:00+00,ETHUSD,299.53,299.96,299.41,299.41,299.68,466.17285633
2017-10-01 12:00:00+00,ETHUSD,299.41,299.42,297.10,297.69,298.55,3178.46216328
2017-10-01 12:15:00+00,ETHUSD,297.69,297.86,296.00,296.81,296.92,2735.60220060
2017-10-01 12:30:00+00,ETHUSD,296.98,297.61,296.21,296.59,296.66,2891.59525310
2017-10-01 12:45:00+00,ETHUSD,296.69,297.62,296.60,297.10,297.22,436.65595807
2017-10-01 13:00:00+00,ETHUSD,297.12,297.12,295.00,295.08,295.62,1582.79338369
2017-10-01 13:15:00+00,ETHUSD,295.17,296.56,295.17,295.95,296.04,596.93546904
2017-10-01 13:30:00+00,ETHUSD,295.94,296.46,295.00,296.30,295.59,2192.77144728
2017-10-01 13:45:00+00,ETHUSD,296.40,297.15,296.16,297.14,296.60,382.50023778
2017-10-01 14:00:00+00,ETHUSD,297.11,298.06,297.10,298.04,297.60,846.00160621
2017-10-01 14:15:00+00,ETHUSD,298.04,298.79,298.00,298.40,298.38,904.54806446
2017-10-01 14:30:00+00,ETHUSD,298.59,298.59,298.04,298.04,298.18,435.25470076
2017-10-01 14:45:00+00,ETHUSD,298.04,299.01,298.00,298.13,298.38,1230.35037611
2017-10-01 15:00:00+00,ETHUSD,298.13,298.47,297.72,298.30,298.03,1035.34184476
2017-10-01 15:15:00+00,ETHUSD,298.32,298.76,297.49,298.21,298.30,1037.51230788
2017-10-01 15:30:00+00,ETHUSD,298.21,298.47,297.83,297.95,298.19,430.67657555
2017-10-01 15:45:00+00,ETHUSD,297.95,300.26,297.76,299.51,299.58,2388.75200626
2017-10-01 16:00:00+00,ETHUSD,299.77,301.50,299.34,300.33,300.62,2900.15119088
2017-10-01 16:15:00+00,ETHUSD,300.38,301.51,300.37,301.10,301.17,2215.57268749
