timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 00:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,15107.07556943
2017-10-01 00:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1451.20466640
2017-10-01 00:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,273343.23596095
2017-10-01 00:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7894.11502400
2017-10-01 01:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,39878.19370544
2017-10-01 01:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6027.82873877
2017-10-01 01:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,30637.76922000
2017-10-01 01:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58446.95687474
2017-10-01 02:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,125369.43842420
2017-10-01 02:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58198.06962254
2017-10-01 02:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12966.27676173
2017-10-01 02:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,151039.69012327
2017-10-01 03:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,82115.69519347
2017-10-01 03:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1175036.29674656
2017-10-01 03:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,156854.43115910
2017-10-01 03:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,55187.96475808
2017-10-01 04:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,201643.81328163
2017-10-01 04:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21018.38322366
2017-10-01 04:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,10410.38221400
2017-10-01 04:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,440.00000000
2017-10-01 05:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,26582.48501211
2017-10-01 05:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16596.47173229
2017-10-01 05:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,8378.88666510
2017-10-01 05:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4189.89780584
2017-10-01 06:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,87236.30125496
2017-10-01 06:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,90233.38294106
2017-10-01 06:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,3508.97870100
2017-10-01 06:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,71144.73111071
2017-10-01 07:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,18209.96580000
2017-10-01 07:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,44389.93169750
2017-10-01 07:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,170993.98276857
2017-10-01 07:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7749.03750848
2017-10-01 08:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20670.84496916
2017-10-01 08:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,29142.25059775
2017-10-01 08:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1511.53416500
2017-10-01 08:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7713.05181900
2017-10-01 09:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58005.11485632
2017-10-01 09:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5202.57089050
2017-10-01 09:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4870.62513993
2017-10-01 09:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12085.36329444
2017-10-01 10:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,9508.21922078
2017-10-01 10:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,3060.11566000
2017-10-01 10:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,106094.30198978
2017-10-01 10:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,61093.72919540
2017-10-01 11:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6508.55915087
2017-10-01 11:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20704.66773993
2017-10-01 11:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,48169.94553728
2017-10-01 11:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16131.29938200
2017-10-01 12:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,145693.20220410
2017-10-01 12:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,177096.26464678
2017-10-01 12:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5992.91259400
2017-10-01 12:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,14705.62345985
2017-10-01 13:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,36450.53245575
2017-10-01 13:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,47621.50872213
2017-10-01 13:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,47495.67874598
2017-10-01 13:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,5602.58493201
2017-10-01 14:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12224.47780152
2017-10-01 14:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,29043.85051276
2017-10-01 14:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,8871.48587103
2017-10-01 14:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,27561.02607502
2017-10-01 15:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17788.10081300
2017-10-01 15:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,58592.51675226
2017-10-01 15:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,4447.66403800
2017-10-01 15:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,35577.73959726
2017-10-01 16:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16494.56421755
2017-10-01 16:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,114639.19603870
2017-10-01 16:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,23550.93038836
2017-10-01 16:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,27110.49370500
2017-10-01 17:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,39045.85870573
2017-10-01 17:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,16274.60408656
2017-10-01 17:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,72418.74767175
2017-10-01 17:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,2.00000000
2017-10-01 18:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1225.40335840
2017-10-01 18:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17624.92957056
2017-10-01 18:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7951.73832764
2017-10-01 18:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52678.85378974
2017-10-01 19:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,17232.91205491
2017-10-01 19:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6869.89154748
2017-10-01 19:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,20383.57772673
2017-10-01 19:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21965.61209764
2017-10-01 20:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6575.73943700
2017-10-01 20:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,18762.10626848
2017-10-01 20:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52318.32091002
2017-10-01 20:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,959.33723014
2017-10-01 21:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21245.50320407
2017-10-01 21:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,26370.07165520
2017-10-01 21:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,10373.56969800
